Date;Pic journalier consommation (MW);Température moyenne (°C);Température référence (°C)
2012-05-01;51830.0;12.8;14.0
2012-03-28;58798.0;14.1;9.7
2012-05-05;52155.0;12.4;14.5
2012-04-02;61473.0;10.6;10.2
2012-05-11;56136.0;18.6;15.2
2012-04-03;61621.0;10.8;10.4
2012-05-14;55227.0;13.2;15.6
2012-04-08;55524.0;8.8;11.0
2012-05-16;58555.0;10.6;15.8
2012-04-10;65169.0;10.0;11.2
2012-06-05;54958.0;15.2;17.9
2012-04-15;59064.0;7.8;11.9
2012-06-08;54586.0;16.6;18.2
2012-04-25;67737.0;10.4;13.2
2012-06-12;55643.0;14.2;18.6
2012-05-06;50359.0;11.9;14.6
2012-06-13;56320.0;14.3;18.7
2012-05-07;54068.0;13.2;14.7
2012-06-14;54841.0;16.5;18.8
2012-05-08;50153.0;14.8;14.8
2012-06-20;56006.0;19.9;19.3
2012-05-15;57399.0;11.1;15.7
2012-06-23;47866.0;17.8;19.6
2012-05-24;55960.0;19.9;16.7
2012-07-04;56749.0;20.6;20.4
2012-06-03;45014.0;17.3;17.7
2012-07-07;48491.0;19.0;20.6
2012-06-10;45742.0;15.3;18.4
2012-07-08;45884.0;18.9;20.7
2012-06-11;54778.0;15.6;18.5
2012-07-13;55857.0;17.5;20.9
2012-06-15;54883.0;18.4;18.9
2012-07-16;54473.0;17.4;21.1
2012-06-16;48879.0;18.2;19.0
2012-07-17;55450.0;19.9;21.1
2012-06-18;54765.0;18.2;19.1
2012-07-19;55914.0;19.2;21.2
2012-06-19;55540.0;17.9;19.2
2012-07-26;56996.0;25.1;21.2
2012-06-21;56192.0;19.7;19.4
2012-08-06;48165.0;18.3;21.0
2012-06-27;57338.0;23.0;19.9
2012-08-09;49778.0;22.3;20.8
2012-07-12;55696.0;17.2;20.9
2012-08-10;49885.0;22.8;20.8
2012-07-23;53986.0;20.3;21.2
2012-08-16;49030.0;21.0;20.4
2012-07-25;56401.0;24.1;21.2
2012-08-20;53046.0;24.6;20.0
2012-07-28;47481.0;20.5;21.2
2012-08-27;52774.0;20.5;19.3
2012-07-31;52436.0;20.4;21.2
2012-09-03;54135.0;17.7;18.5
2012-08-02;52308.0;20.8;21.1
2012-09-10;54508.0;20.9;17.7
2012-08-03;51326.0;20.2;21.1
2012-09-13;54730.0;15.1;17.3
2012-08-11;45314.0;22.1;20.7
2012-09-27;56900.0;13.8;15.5
2012-08-23;53103.0;21.1;19.8
2012-09-28;55529.0;13.8;15.3
2012-08-26;43948.0;18.6;19.4
2012-09-30;47819.0;12.6;15.1
2012-08-28;54269.0;20.8;19.2
2012-10-20;52491.0;15.4;12.4
2012-09-06;55014.0;18.5;18.2
2012-11-03;59850.0;10.8;10.4
2012-09-17;53651.0;17.4;16.8
2012-11-09;69986.0;8.3;9.5
2012-09-21;55152.0;14.5;16.3
2012-11-15;74452.0;7.0;8.7
2012-10-04;57431.0;15.3;14.6
2012-11-16;72514.0;7.1;8.5
2012-10-08;57979.0;15.9;14.0
2012-11-20;73144.0;8.6;8.0
2012-10-10;58230.0;15.8;13.8
2012-11-25;59668.0;11.2;7.3
2012-10-14;53331.0;10.3;13.2
2012-11-27;75222.0;7.4;7.0
2012-10-17;62465.0;14.3;12.8
2012-12-05;84033.0;4.3;6.1
2012-10-18;61119.0;16.4;12.7
2012-12-10;84885.0;4.5;5.6
2012-10-23;59462.0;14.9;12.0
2012-12-13;86600.0;2.3;5.4
2012-10-25;61310.0;12.7;11.7
2012-12-14;80382.0;8.2;5.3
2012-10-26;61957.0;11.8;11.6
2012-12-15;69069.0;9.2;5.2
2012-10-29;72023.0;6.2;11.1
2012-12-23;59601.0;11.4;4.8
2012-10-30;71235.0;7.2;11.0
2012-12-24;60994.0;10.1;4.8
2012-11-01;61498.0;9.0;10.7
2012-12-25;57065.0;10.3;4.7
2012-11-02;65503.0;9.4;10.6
2012-12-26;66321.0;9.1;4.7
2012-11-04;57907.0;10.3;10.3
2012-12-27;67961.0;9.5;4.7
2012-11-08;72276.0;8.1;9.7
2012-12-31;64502.0;7.8;4.6
2012-11-10;61360.0;11.3;9.4
2012-11-11;61117.0;8.2;9.2
2012-11-21;74064.0;8.7;7.8
2012-11-30;79490.0;2.8;6.7
2012-12-04;81988.0;6.3;6.2
2012-12-06;86542.0;2.4;6.0
2012-12-12;90741.0;-1.2;5.5
2012-12-17;77404.0;8.0;5.1
2013-01-05;67368.0;7.5;4.6
2013-01-21;87724.0;2.5;5.1
2013-02-05;82203.0;6.2;5.8
2013-02-21;86165.0;1.6;6.7
2013-02-24;82659.0;-0.4;6.9
2013-02-26;86143.0;1.7;7.0
2013-02-27;84689.0;2.6;7.1
2013-02-28;82918.0;3.1;7.2
2013-03-03;72869.0;3.9;7.4
2013-03-22;70946.0;9.6;9.0
2013-03-27;75072.0;5.3;9.5
2013-03-29;74751.0;5.3;9.8
2013-04-14;54049.0;16.5;11.7
2013-04-15;57087.0;15.4;11.9
2013-04-20;54751.0;8.8;12.5
2013-04-21;53619.0;9.6;12.7
2013-04-29;63034.0;9.7;13.7
2013-05-03;59155.0;12.6;14.2
2013-05-04;52816.0;12.8;14.3
2013-05-14;57749.0;13.1;15.6
2013-05-15;58793.0;11.9;15.7
2013-05-16;60013.0;10.5;15.8
2013-05-20;53739.0;11.2;16.2
